TestMap
41
3
3
True
(0.0, 0.0, 0.0)
(30.0, 30.0, 30.0)
(0.0, 0.0, 0.0, 1.0)
(0.1, 1.1, 12.5)
(0.2, 0.5, 5.8)
(-0.1, 0.7, -0.1, -0.7)
(4.4, 0.3, 3.7)
(0.2, 0.5, 4.0)
(0.0, 0.7, 0.0, -0.7)
(2.5, 0.3, 6.2)
(0.2, 0.5, 4.6)
(0.0, 1.0, 0.0, 0.0)
(-3.4, 0.9, 4.7)
(1.5, 1.8, 1.6)
(0.0, 1.0, 0.0, 0.0)
(-1.0, 0.5, 5.5)
(3.4, 1.2, 1.5)
(0.0, 1.0, 0.0, 0.0)
(1.6, 1.6, 9.7)
(2.1, 3.1, 2.4)
(0.0, 1.0, 0.0, 0.0)
(4.4, 2.1, 7.7)
(0.2, 0.5, 9.5)
(0.0, 0.0, 0.0, -1.0)
(2.8, 2.1, 5.7)
(0.2, 0.5, 5.6)
(0.0, 0.0, 0.0, -1.0)
(3.6, 2.1, 2.8)
(0.2, 0.5, 1.9)
(0.0, 0.7, 0.0, -0.7)
(3.6, 2.1, 12.5)
(0.2, 0.5, 1.9)
(0.0, 0.7, 0.0, -0.7)
(-4.1, 0.3, 9.8)
(0.2, 0.5, 5.3)
(0.0, 1.0, 0.0, 0.0)
(-6.2, 0.3, 1.6)
(0.2, 0.5, 11.1)
(0.0, 1.0, 0.0, 0.0)
(-5.3, 0.3, 7.2)
(0.2, 0.5, 2.1)
(0.0, 0.7, 0.0, -0.7)
(-2.6, 0.3, 10.4)
(0.2, 0.5, 1.1)
(0.0, 1.0, 0.0, 0.0)
(-2.6, 0.3, 7.1)
(0.2, 0.5, 1.5)
(0.0, 1.0, 0.0, 0.0)
(-3.3, 0.3, 12.5)
(0.2, 0.5, 1.8)
(0.0, 0.7, 0.0, -0.7)
(3.3, 0.3, -12.5)
(0.2, 0.5, 1.8)
(0.0, 0.7, 0.0, 0.7)
(2.6, 0.3, -7.1)
(0.2, 0.5, 1.5)
(0.0, 0.0, 0.0, 1.0)
(2.6, 0.3, -10.4)
(0.2, 0.5, 1.1)
(0.0, 0.0, 0.0, 1.0)
(5.3, 0.3, -7.2)
(0.2, 0.5, 2.1)
(0.0, 0.7, 0.0, 0.7)
(6.2, 0.3, -1.6)
(0.2, 0.5, 11.1)
(0.0, 0.0, 0.0, 1.0)
(4.1, 0.3, -9.8)
(0.2, 0.5, 5.3)
(0.0, 0.0, 0.0, 1.0)
(-3.6, 2.1, -12.5)
(0.2, 0.5, 1.9)
(0.0, 0.7, 0.0, 0.7)
(-3.6, 2.1, -2.8)
(0.2, 0.5, 1.9)
(0.0, 0.7, 0.0, 0.7)
(-2.8, 2.1, -5.7)
(0.2, 0.5, 5.6)
(0.0, 1.0, 0.0, 0.0)
(-4.4, 2.1, -7.7)
(0.2, 0.5, 9.5)
(0.0, 1.0, 0.0, 0.0)
(-1.6, 1.6, -9.7)
(2.1, 3.1, 2.4)
(0.0, 0.0, 0.0, 1.0)
(1.0, 0.5, -5.5)
(3.4, 1.2, 1.5)
(0.0, 0.0, 0.0, 1.0)
(3.4, 0.9, -4.7)
(1.5, 1.8, 1.6)
(0.0, 0.0, 0.0, 1.0)
(-2.6, 0.3, -6.2)
(0.2, 0.5, 4.6)
(0.0, 0.0, 0.0, 1.0)
(-4.4, 0.3, -3.7)
(0.2, 0.5, 4.0)
(0.0, 0.7, 0.0, 0.7)
(-0.1, 1.1, -12.5)
(0.2, 0.5, 5.8)
(0.1, 0.7, -0.1, 0.7)
(-0.1, 0.4, -11.8)
(5.7, 0.8, 1.8)
(0.0, 0.0, -0.2, 1.0)
(-3.6, 1.7, -7.7)
(1.9, 0.2, 10.0)
(0.0, 0.0, 0.0, 1.0)
(3.6, 1.7, 7.7)
(1.9, 0.2, 10.0)
(0.0, 0.0, 0.0, 1.0)
(3.4, -0.1, -10.0)
(1.6, 0.2, 5.3)
(0.0, 0.0, 0.0, 1.0)
(-3.4, -0.1, 10.0)
(1.6, 0.2, 5.3)
(0.0, 0.0, 0.0, 1.0)
(4.5, -0.1, -1.7)
(3.7, 0.2, 11.3)
(0.0, 0.0, 0.0, 1.0)
(-4.5, -0.1, 1.7)
(3.7, 0.2, 11.3)
(0.0, 0.0, 0.0, 1.0)
(0.0, -0.1, 0.0)
(5.3, 0.2, 25.3)
(0.0, 0.0, 0.0, 1.0)
(0.1, 0.4, 11.8)
(5.7, 0.8, 1.8)
(0.0, 0.0, 0.2, 1.0)
(3.8, 1.9, 12.0)
(0.0, 1.0, 0.0, -0.2)
(-1.7, 0.1, 7.1)
(0.0, 0.4, 0.0, 0.9)
(-0.8, 0.1, 10.1)
(0.0, 1.0, 0.0, 0.0)
(0.8, 0.1, -10.1)
(0.0, 0.0, 0.0, 1.0)
(1.7, 0.1, -7.1)
(0.0, -0.9, 0.0, 0.4)
(-3.8, 1.9, -12.0)
(0.0, 0.2, 0.0, 1.0)
(0.0, 1.1, 0.0)
(3.8, 2.5, 3.8)
(0.0, 0.0, 0.0, 1.0)
